asin,coupon,page_num,position_num,price_initial,price_true,rate,reviews,sellername,title
B01DKY64G6,False,1,24,,$16.99,4.5,140,"by ,Utopia Bedding,FREE Shipping on eligible orders",Quilted Fitted Fleece Mattress Pad (Full) - Mattress Cover Stretches up to 16 Inches Deep - Fleece Mattress Topper and Mattress Protector - by Utopia Bedding
B01FIE81DK,True,1,25,+ $136.70 shipping,$49.90,4.4,480,"by ,Bare Home",Bare Home Pillow-Top Premium Mattress Pad - 1.5 Inch Cooling Down Alternative Polygel Filled Microplush Super-Soft Hypoallergenic Topper (Twin XL/Twin Extra Long)
B0756Z5QZL,True,1,26,,$55.22,4.3,,"by ,Jurlyne,<span class=""a-color-secondary"">FREE Shipping on eligible orders",Pillowtop Mattress Pad Cover King Size - Hypoallergenic - Cotton Down Alternative Filled Mattress Topper
B014CXYMYU,False,1,27,,$19.99,4.2,"3,750","by ,THE GRAND,FREE Shipping on eligible orders","The Grand Fitted Quilted Mattress Pad Cover Hypoallergenic (Stretches to 16"" Deep – Full - 54x75"") Full Size Mattress Protector"
B012Y6LZEC,True,1,28,,$99.99,4.3,,"by ,ExceptionalSheets,More Buying Choices,<span class=""a-color-secondary"">FREE Shipping on eligible orders","ExceptionalSheets Pillowtop Mattress Pad with Fitted Skirt - Extra Plush Topper Found in Marriott Hotels - Made in the USA, King"
ACSVBGNA01,False,1,29,,,,,,"<a class=""a-link-normal vs-buying-guide-ingress-title a-text-normal"" href=""/gp/vs/buying-guide/mattress/794667?ref=vsbg_mttrss_794667_acs&amp;qid=1532775994&amp;sr=1-30-acs"">Looking for a Mattress?</a>"
B073TZF8BL,True,2,24,,$49.90,,,"by ,LEISURE TOWN,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>LEISURE TOWN Queen Overfilled Mattress Pad Cover ❤️8-21”Deep Pocket❤️Cooling Mattress Topper Snow Down Alternative Fill❤️Cooling"
B071SCV6GS,False,2,25,,$49.80,4.3,,"by ,Fairyland,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>Fairyland Hypoallergenic Quilted Mattress Pad Cover with 300TC 100% Cotton Down Alternative Filled Mattress Topper,8-21 Inch Deep Pocket (King)"
B075ZJ73MD,False,2,26,,$38.90,,,"by ,Freelife,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>Mattress Pad Cover, 100% Cotton Fabric, Microfiber Filled, Soft, Hypoallergenic, Mattress Topper with Deep Pocket(Queen,Basic)"
B07BDFV5VP,False,2,27,,$29.90,4.3,15,"by ,YOUMAKO,FREE Shipping on eligible orders",YOUMAKO Queen Size Mattress Pad Cover Hypoallergenic Quilted Pillowtop 8-21”Deep Pocket Cooling Topper
B01IW3ACCW,False,2,28,,$19.99,3.7,517,"by ,Linenspa,FREE Shipping on eligible orders","Linenspa Waterproof Quilted Mattress Pad with Hypallergenic Fill &amp; Deep Pocket Fitted Skirt, Twin"
B00CZED254,True,2,29,,$89.99,4.3,,"by ,ExceptionalSheets,More Buying Choices,<span class=""a-color-secondary"">FREE Shipping on eligible orders","ExceptionalSheets Bamboo Mattress Pad with Fitted Skirt - Extra Plush Cooling Topper - Hypoallergenic - Made in the USA, Twin"
